destination,min,median,avg,p95
server1,0.65536,28.18048,27.369514666666667,54.39488
server2,0.65536,0.65536,11.957354666666665,36.70016
server3,0.0,0.65536,12.924559644444445,47.18592
server4,0.65536,39.3216,37.07271822222222,57.01632
server5,0.65536,41.28768,32.67666915555556,42.9856
server6,0.65536,25.9248,23.299952355555554,52.4288
server7,0.42368,28.83584,36.140808533333335,57.67168
server8,0.65536,20.31616,16.690824533333334,42.05888
server9,0.24992,18.35008,19.610591288888887,37.55072
server10,0.65536,43.25376,39.45810915555556,44.96992
